subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,1,1,aktif,0.9369933,0.7366638,0.88710463,0.76255345,0.8390438,0.9034427,0.91393167,0.7834527,0.91740465,0.780626,0.86690646,0.93077976,0.92556435,0.6918271,0.49191418,0.6043813,0.72721547,0.7097519,0.9051262,0.97257096,0.98171556,0.98733425,0.9583277,0.87431127,0.8871641,0.9452539,0.9547214,0.9903572
1,1,2,aktif,0.9786296,0.8116324,0.8919856,0.72662365,0.82192343,0.9308991,0.92666936,0.8275223,0.8512807,0.704393,0.79267925,0.89267665,0.88876975,0.6248889,0.43451163,0.5262062,0.69965315,0.6803476,0.8679698,0.95183384,0.966202,0.976868,0.9206689,0.8244865,0.83071303,0.89385307,0.91916376,0.9824471
1,1,3,aktif,0.99576503,0.92998034,0.956954,0.60762775,0.8612274,0.9762671,0.9680951,0.93670577,0.95008063,0.61069506,0.8557413,0.9697678,0.96445304,0.8582614,0.52332187,0.7455348,0.89652425,0.8857753,0.7033775,0.93670475,0.97995,0.9791511,0.81619257,0.6597586,0.6757735,0.9001459,0.90896726,0.99644774
1,1,4,aktif,0.9776551,0.7597239,0.95188385,0.7847748,0.90773404,0.9536677,0.9497898,0.76456535,0.9579083,0.80407083,0.9163208,0.95586216,0.9494751,0.66050035,0.48007992,0.6115643,0.67573464,0.65775007,0.88765144,0.9778555,0.97959346,0.98269343,0.93572694,0.84152395,0.8615954,0.94488484,0.95617193,0.99481
1,1,5,aktif,0.9815663,0.79894775,0.9638536,0.714336,0.88811725,0.9558898,0.9658372,0.81196076,0.9598258,0.71563905,0.8805994,0.9562923,0.9631923,0.71269906,0.42749104,0.59999764,0.7211028,0.7250675,0.82005537,0.96132106,0.98047477,0.9832343,0.90259176,0.789105,0.78473544,0.92824614,0.9317414,0.9871791
1,1,6,aktif,0.9854925,0.7974426,0.93472624,0.68622184,0.86948544,0.9291741,0.91601545,0.8001742,0.93770856,0.6952324,0.8746161,0.92463917,0.90894836,0.67785436,0.40005732,0.60399,0.67936563,0.6657681,0.8242467,0.96131676,0.978115,0.9647976,0.90129656,0.80185896,0.7991609,0.93491125,0.9251007,0.9875895
1,1,7,aktif,0.97900444,0.84847337,0.9633364,0.8130877,0.9236206,0.9652474,0.95905,0.81728023,0.9784731,0.844677,0.9399467,0.97429824,0.97003657,0.7696118,0.59877443,0.7235986,0.76766974,0.7622129,0.9056036,0.98150444,0.9900604,0.9926364,0.9456263,0.8867705,0.8979452,0.96783704,0.9738463,0.9957277
1,1,8,aktif,0.99088216,0.8872002,0.9517491,0.7999618,0.90771395,0.940462,0.9470309,0.8858961,0.95945954,0.7985023,0.9139547,0.95129937,0.95684904,0.8051988,0.5994349,0.7385991,0.82072616,0.8141628,0.8941704,0.9774731,0.96396196,0.9761565,0.9432192,0.8419126,0.8619457,0.9394985,0.9544544,0.98534894
1,1,9,aktif,0.9819216,0.89069635,0.9631527,0.8328911,0.9280601,0.9604538,0.9653775,0.86074567,0.9739735,0.8500374,0.9462691,0.96482956,0.9687463,0.80635524,0.66474813,0.77753335,0.8004743,0.80806375,0.9159286,0.9811555,0.98571295,0.98616964,0.9554912,0.8890375,0.89184093,0.9616719,0.9622771,0.99474293
1,1,10,aktif,0.9826384,0.91769725,0.96624875,0.8521832,0.9320598,0.9723186,0.97509784,0.93085796,0.94357324,0.8355974,0.91126144,0.96336544,0.952949,0.8374474,0.7070238,0.7914432,0.86491877,0.8598618,0.9217132,0.98122716,0.971132,0.98584205,0.96003354,0.89117634,0.9007157,0.9511432,0.9619012,0.98721564
1,1,11,aktif,0.97631294,0.93094957,0.9564341,0.865639,0.9260313,0.96717376,0.9716391,0.93965954,0.9416104,0.8642517,0.9194766,0.9561171,0.9540935,0.8468013,0.7416633,0.80483866,0.87760955,0.8712978,0.93386483,0.97229254,0.9755611,0.98172754,0.95132136,0.91763395,0.918999,0.9662519,0.96051735,0.9918507
1,1,12,aktif,0.97924596,0.94384825,0.9851254,0.92624533,0.9468243,0.9703797,0.97927856,0.9284088,0.9768294,0.9237305,0.949839,0.9664326,0.9756293,0.9287032,0.8542865,0.8862253,0.9205698,0.9212532,0.95454144,0.96965176,0.98635715,0.9937537,0.9826403,0.9613149,0.96149665,0.9807427,0.9771322,0.99283975
1,1,13,aktif,0.9899622,0.91945493,0.97409093,0.6245107,0.63251317,0.9683686,0.97790235,0.92442966,0.98712796,0.66256166,0.6703751,0.97679543,0.98574185,0.90208167,0.6119825,0.61945,0.902986,0.9072822,0.69639504,0.700585,0.9762519,0.98747826,0.9826963,0.6246989,0.6432983,0.6324806,0.65129316,0.98911446
1,1,14,aktif,0.9818567,0.8860013,0.9446115,0.06197736,0.027535558,0.9508642,0.9495217,0.87030876,0.9583472,0.076221526,0.021954881,0.9651554,0.96004194,0.79318964,0.11165171,0.01856054,0.81389904,0.80633456,0.06048138,0.088694565,0.9760831,0.97423667,0.9507112,0.07433996,0.07179913,0.03744743,0.033632148,0.99205106
