subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,1,1,aktif,0.5464227,0.082589164,0.70075995,0.5158284,0.21591385,0.7026979,0.23057938,0.26740825,0.9232416,0.70376754,0.25006127,0.9259459,0.7733142,0.4349383,0.30142963,0.09955807,0.41615364,0.1693734,0.3824486,0.83408475,0.13802508,0.9135047,0.8672695,0.27194965,0.5584961,0.7675448,0.5434896,0.8894656
1,1,2,aktif,0.9554853,0.043899305,0.7046097,0.24271153,0.87271166,0.9309893,0.14104006,0.41530904,0.88431615,0.7132543,0.6391721,0.9612749,0.8151659,0.18824928,0.009592801,0.4991191,0.46869346,0.09035471,0.2849667,0.9767395,0.9035302,0.8911629,0.98400074,0.75641584,0.44411534,0.9821872,0.9578574,0.9957446
1,1,3,aktif,0.27910757,0.8347332,0.98300624,0.6642797,0.38433138,0.856591,0.7525349,0.82874537,0.97543204,0.6756234,0.42192644,0.8376087,0.7497419,0.9627475,0.67647374,0.5427942,0.8618968,0.80950797,0.35988122,0.85754174,0.98235786,0.9851559,0.786092,0.6098111,0.6484663,0.02481139,0.08558033,0.57068443
1,1,4,aktif,0.29286283,0.6095338,0.7483237,0.5551367,0.47638983,0.3371484,0.041145507,0.57633394,0.8962849,0.64515984,0.6047821,0.622188,0.36065236,0.6597095,0.562297,0.55537385,0.50472766,0.39979652,0.41014385,0.16416019,0.49723253,0.7741853,0.6111322,0.32397792,0.45615724,0.12362365,0.39880902,0.71707255
1,1,5,aktif,0.56057435,0.7196225,0.90974885,0.5638922,0.64234036,0.56751883,0.3101173,0.6781608,0.9480611,0.63288265,0.72120845,0.76720685,0.63146037,0.83016497,0.58148104,0.6700647,0.7170289,0.6561116,0.36413857,0.31051922,0.815031,0.9173066,0.48868838,0.39118814,0.459796,0.3119757,0.5683468,0.57125896
1,1,6,aktif,0.35116625,0.4822148,0.8174915,0.42273036,0.58276,0.45455274,0.031945407,0.47364214,0.8884722,0.50364935,0.6827418,0.6102359,0.23720726,0.67905575,0.43552288,0.5767207,0.47979623,0.30959257,0.27242184,0.14948484,0.73033416,0.8744672,0.49455422,0.2510569,0.33478376,0.26422486,0.51330024,0.72703797
1,1,7,aktif,0.48084646,0.87566847,0.8839146,0.6707328,0.66666365,0.6302306,0.35306665,0.7947436,0.9821198,0.76885235,0.82168204,0.8391461,0.6722681,0.90059924,0.74123526,0.8366221,0.82091576,0.75747555,0.57936776,0.091344826,0.7014728,0.91930455,0.7765616,0.56910694,0.672071,0.33823127,0.58081347,0.68440604
1,1,8,aktif,0.7251729,0.9079606,0.7723528,0.45909888,0.42406887,0.36864415,0.087582976,0.85240495,0.9239121,0.5689653,0.67968714,0.7276459,0.58492655,0.9036602,0.65421957,0.78452086,0.8692163,0.8168465,0.26395047,0.36129653,0.5068583,0.8087176,0.5202019,0.17311065,0.3626543,0.039103765,0.36288625,0.6579463
1,1,9,aktif,0.6339802,0.90630776,0.8254618,0.68424636,0.72704047,0.49482965,0.22208905,0.8051664,0.93946683,0.7789686,0.86738545,0.7893947,0.6372312,0.8944904,0.7858176,0.8764289,0.81058097,0.76047724,0.57209235,0.07942213,0.5648665,0.886853,0.73357844,0.5453044,0.6416228,0.36142275,0.6426514,0.6342736
1,1,10,aktif,0.9949201,0.9979884,0.99722797,0.99083376,0.9911032,0.9927578,0.99092025,0.997803,0.99882764,0.995346,0.99570876,0.998023,0.9967222,0.9981414,0.99636436,0.9967662,0.99778396,0.9977826,0.954717,0.6901705,0.9935665,0.99500716,0.9865,0.98302495,0.9851856,0.9702403,0.9733333,0.5050438
