subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,1,1,verbal,0.804328,0.20251796,0.7238745,0.38919333,0.48638058,0.84895426,0.7872925,0.4441265,0.60784084,0.36317345,0.018342242,0.5302056,0.56616104,0.5290863,0.030579155,0.41591766,0.45417684,0.67671835,0.5479523,0.66266686,0.27857107,0.58166105,0.50285065,0.1707633,0.49499768,0.43322182,0.38556427,0.07929619
1,1,2,verbal,0.7382057,0.6078917,0.82197523,0.85669744,0.5120069,0.73939574,0.61919534,0.8362965,0.78896534,0.7387018,0.27829787,0.62902725,0.4999636,0.78999466,0.7366575,0.5970015,0.7412269,0.68653494,0.47009742,0.47784406,0.63416725,0.6068719,0.37281364,0.46333355,0.5752895,0.14803253,0.1877913,0.005581464
1,1,3,verbal,0.24222511,0.0028966288,0.36620343,0.2731475,0.00038469987,0.26263663,0.31997877,0.11132073,0.42399162,0.30437282,0.34167823,0.35265967,0.41048598,0.2123019,0.011508441,0.110776074,0.08672307,0.23565376,0.3950193,0.7011854,0.1505534,0.27644217,0.55400693,0.047673892,0.26355532,0.74661434,0.6227854,0.14786193
1,1,4,verbal,0.6403008,0.61912084,0.71534455,0.60864466,0.4800214,0.6973118,0.69483733,0.7041646,0.7650652,0.6117232,0.18114163,0.69767684,0.7111481,0.72326916,0.51821816,0.5306914,0.7255046,0.75484425,0.5662409,0.7100757,0.45581412,0.4395552,0.6393452,0.38526726,0.44411528,0.46062538,0.5557209,0.33760846
1,1,5,verbal,0.6805609,0.31036437,0.70749635,0.6491743,0.36496118,0.6163433,0.63203835,0.68471175,0.7218677,0.65323246,0.24090393,0.56949604,0.62000734,0.67732745,0.5351215,0.32265443,0.5923154,0.6493364,0.6618531,0.35447243,0.3610309,0.27866134,0.47073266,0.41483483,0.5139876,0.19939321,0.36623254,0.3947062
1,1,6,verbal,0.9253262,0.64026505,0.9417611,0.96118534,0.6931218,0.9300538,0.9427572,0.8703897,0.9491904,0.9673446,0.34229082,0.9402143,0.95742494,0.9029391,0.93246514,0.6181971,0.89403754,0.92301786,0.95782053,0.88725024,0.7487508,0.0048962543,0.92933124,0.9427962,0.8377582,0.5967229,0.8821649,0.8932625
1,1,7,verbal,0.853535,0.0034186505,0.9107827,0.9081174,0.80286133,0.88106215,0.87935954,0.8927325,0.91915715,0.8950225,0.716577,0.86961997,0.8890012,0.92234826,0.9093157,0.83195233,0.9034512,0.91028607,0.7346202,0.37720752,0.892239,0.51204044,0.49813554,0.8333328,0.6732413,0.3546929,0.3053918,0.77430403
1,1,8,verbal,0.966408,0.5960834,0.9688573,0.9643117,0.94797945,0.95807844,0.9628733,0.97568643,0.9483355,0.9493882,0.86317086,0.9110974,0.95844996,0.96795475,0.9586662,0.94633317,0.959912,0.9635785,0.9423574,0.8693512,0.931988,0.68894494,0.95616615,0.94285953,0.81896204,0.65592116,0.9319712,0.9527047
1,1,9,verbal,0.97795385,0.9486991,0.9780614,0.97857463,0.9677104,0.9787441,0.97442853,0.9657273,0.974398,0.9790989,0.94242275,0.9691908,0.96573436,0.9729457,0.97472924,0.96212274,0.97245824,0.9710176,0.96877253,0.27220196,0.95653427,0.7255927,0.95924276,0.97462267,0.95640343,0.7555325,0.82012355,0.9423438
1,1,10,verbal,0.99803656,0.6593932,0.9994626,0.9995119,0.999114,0.99942034,0.99922216,0.99836725,0.99925834,0.99918765,0.99838775,0.99896055,0.9989995,0.9995511,0.99954164,0.9992325,0.9995084,0.9993789,0.90410054,0.9978713,0.99944466,0.9989034,0.9938352,0.9993741,0.99838006,0.9848624,0.88102853,0.99443007
1,1,11,verbal,0.9866958,0.7262746,0.969746,0.98645324,0.71823984,0.96976036,0.9716004,0.98606,0.8223536,0.9555873,0.28021157,0.650632,0.9698673,0.96340865,0.9834833,0.59761864,0.96153975,0.9759292,0.9412662,0.97714794,0.9014907,0.51780677,0.9872812,0.97469753,0.5601912,0.8348298,0.955764,0.96751094
