subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,1,1,verbal,0.9885494,0.8841403,0.9289071,0.7890268,0.9617288,0.9727235,0.9549394,0.85604376,0.9547938,0.82133955,0.9774506,0.98574764,0.9723675,0.7618376,0.5894117,0.8261895,0.83443576,0.8218669,0.9017228,0.9640571,0.96547925,0.9823202,0.8492165,0.85455763,0.8410268,0.98542,0.9686723,0.9720794
1,1,2,verbal,0.8771175,0.8868819,0.7284903,0.7053998,0.67850655,0.7529602,0.7354495,0.8406254,0.8860779,0.78359413,0.85991484,0.91318035,0.9003503,0.65194833,0.5585018,0.66398734,0.6994567,0.67323184,0.89990276,0.9391181,0.9769374,0.96914434,0.810746,0.86679626,0.8416808,0.9607576,0.932253,0.9777784
1,1,3,verbal,0.857328,0.91771036,0.6556268,0.52477646,0.7170475,0.75538987,0.7115494,0.7831464,0.8904642,0.7310738,0.9122578,0.9515756,0.9350605,0.5662128,0.4231309,0.6482277,0.69844836,0.6461931,0.8824919,0.948504,0.94504315,0.9707484,0.8186049,0.7990573,0.7970649,0.97100484,0.94899833,0.9710708
1,1,4,verbal,0.87618804,0.9465334,0.7714203,0.6386362,0.77260005,0.8223741,0.7981253,0.8093387,0.9417354,0.82663566,0.9397409,0.9644746,0.9505588,0.6877912,0.53998953,0.69925654,0.75622016,0.731253,0.91680384,0.9699778,0.96673775,0.97640944,0.8873404,0.86895335,0.865136,0.9828488,0.97815853,0.9875762
1,1,5,verbal,0.8835519,0.9573333,0.6050005,0.47569796,0.6056237,0.6968853,0.5944081,0.87807226,0.81093544,0.6509075,0.7714448,0.8820286,0.8121571,0.58739865,0.4214348,0.59596694,0.6987801,0.59885955,0.88193065,0.84125954,0.898802,0.93543625,0.76644385,0.7823431,0.8015058,0.8889818,0.8691057,0.93719256
1,1,6,verbal,0.8803183,0.9704248,0.6710928,0.6026463,0.6008363,0.73128325,0.6768176,0.8517258,0.8640017,0.76668113,0.81719124,0.92171216,0.87170666,0.6253572,0.54984146,0.5590779,0.69622827,0.64108133,0.9436326,0.94037336,0.9671775,0.98689985,0.8647619,0.8824231,0.9091087,0.9388073,0.94180745,0.9784576
1,1,7,verbal,0.8373382,0.9480774,0.5830045,0.57184714,0.43274522,0.6405815,0.5679809,0.868475,0.81000286,0.71203846,0.66901207,0.88146216,0.8191145,0.6297529,0.5790285,0.5071946,0.6997638,0.6304968,0.89680034,0.80037355,0.95353967,0.9711062,0.7223413,0.8411351,0.8348303,0.84289294,0.79059607,0.94848406
1,1,8,verbal,0.902744,0.9606956,0.63536745,0.5124106,0.5775368,0.70379204,0.6102044,0.89053315,0.787841,0.6516325,0.74981534,0.86759675,0.8010412,0.60857457,0.4794518,0.553712,0.6792853,0.5956239,0.91623783,0.94701195,0.9484001,0.9396549,0.8784777,0.8423202,0.8791488,0.9273422,0.920911,0.9359324
1,1,9,verbal,0.81110466,0.9596903,0.6194464,0.49476275,0.64195603,0.7004845,0.6068738,0.8194345,0.8942378,0.78030366,0.88546073,0.9442711,0.8725189,0.6428846,0.5264331,0.6640885,0.72375876,0.64537084,0.9382542,0.943909,0.97823054,0.9736976,0.8893173,0.88996696,0.9312912,0.95034283,0.9271395,0.9597888
1,1,10,verbal,0.907658,0.9482986,0.7603219,0.75230294,0.7491865,0.81948173,0.7947502,0.8738947,0.8460388,0.8348498,0.8332795,0.9000131,0.8827309,0.758574,0.73920506,0.7634969,0.81243515,0.79019225,0.9841988,0.9651854,0.9783356,0.98178405,0.95855933,0.9675507,0.9655722,0.95632917,0.9522574,0.99309033
